ESTOQUE_PRODUTOS_15-15-21,,,,,,,,,Gerado em 13/07/2026 15:15:21
,,,,,,,,,
,,,,,,,,,
Empresa,Código,Produto,Qtde.,Un.,Qtde. Entrega,Un. Entrega,Estoque Mínimo,Custo,Custo Médio
EMPÓRIO GERMANIA VINHEDO,7898381810164,AGUA SEM GAS 510ML,117,UN,,,0,211.68,1.80923
EMPÓRIO GERMANIA VINHEDO,SV18,BOLACHA MESCLADA,1,UN,0.001,CX,0,225,225
EMPÓRIO GERMANIA VINHEDO,SV.02,CANECA GERMANIA 1L,10,UN,10,UN,0,430,43
EMPÓRIO GERMANIA VINHEDO,SV.03,CANECA GERMANIA 500 ML,27,UN,27,UN,0,864,32
EMPÓRIO GERMANIA VINHEDO,SV.06,CANECA GERMANIA TABERNA 340ML,24,UN,2,CX,0,728,30.33333
EMPÓRIO GERMANIA VINHEDO,QB.03,CARVÃO 10KG,9,UN,,,0,522,58
EMPÓRIO GERMANIA VINHEDO,QB.01,CARVÃO 3KG,7,UN,,,20,126,18
EMPÓRIO GERMANIA VINHEDO,QB.02,CARVÃO 5KG,6,UN,,,0,203,33.83333
EMPÓRIO GERMANIA VINHEDO,CVJ.16,CERVEJA AMBER LAGER 500ML,19,UN,3.167,FD,0,9.79,0.51526
EMPÓRIO GERMANIA VINHEDO,7896910401555,CERVEJA BLACK 500ML,14,UN,2.333,FD,0,5.31,0.37928
EMPÓRIO GERMANIA VINHEDO,7896910401548,CERVEJA ESCURA 500ML,4,UN,0.667,FD,0,3.39,0.8475
EMPÓRIO GERMANIA VINHEDO,7896910400046,CERVEJA ESCURA LN 355ML,9,UN,1.5,FD,0,4.74,0.52666
EMPÓRIO GERMANIA VINHEDO,7896910400893,CERVEJA IPA 500ML,5,UN,0.833,FD,0,5.39,1.078
EMPÓRIO GERMANIA VINHEDO,7896910401036,CERVEJA MUNICH HELLES 500ML,20,UN,3.333,FD,0,9.79,0.4895
EMPÓRIO GERMANIA VINHEDO,7896910401531,CERVEJA PILSEN 500ML,9,UN,,,0,4.99,0.55444
EMPÓRIO GERMANIA VINHEDO,7896910400053,CERVEJA PILSEN LN 355ML,8,UN,1.333,FD,0,3.94,0.4925
EMPÓRIO GERMANIA VINHEDO,7896910401524,CERVEJA PURO MALTE 500ML,10,UN,1.667,FD,0,5.69,0.569
EMPÓRIO GERMANIA VINHEDO,7896910400848,CERVEJA PURO MALTE LN 355ML,17,UN,2.833,FD,0,5.37,0.31588
EMPÓRIO GERMANIA VINHEDO,7896910400060,CERVEJA VINHEDO (C/ VINHO) LN 355ML,19,UN,3.167,FD,0,5.69,0.29947
EMPÓRIO GERMANIA VINHEDO,CHP.07,CHOPP ESCURO 10L,1,UN,,,0,78.5,78.5
EMPÓRIO GERMANIA VINHEDO,CHP.10,CHOPP ESCURO 30L,2,UN,,,0,469.71,234.855
EMPÓRIO GERMANIA VINHEDO,50.10.0078.10,CHOPP IPA 10L,2,UN,,,0,280,140
EMPÓRIO GERMANIA VINHEDO,50.10.0078.15,CHOPP IPA 15L,3,UN,,,0,630.01,210.00333
EMPÓRIO GERMANIA VINHEDO,50.10.0078.30,CHOPP IPA 30L,1,UN,,,0,420,420
EMPÓRIO GERMANIA VINHEDO,CHP.01,CHOPP PILSEN 10L,1,UN,,,0,69,69
EMPÓRIO GERMANIA VINHEDO,CHP.05,CHOPP PILSEN 50L,8,UN,,,0,2760.17,345.02125
EMPÓRIO GERMANIA VINHEDO,50.10.0047.15,CHOPP PURO MALTE - AMBER LAGER 15L,1,UN,,,0,145.5,145.5
EMPÓRIO GERMANIA VINHEDO,50.10.0047.40,CHOPP PURO MALTE - AMBER LAGER 30L,1,UN,,,0,291,291
EMPÓRIO GERMANIA VINHEDO,CHP.13,CHOPP VINHEDO (C/ VINHO) 15L,5,UN,5,UN,0,727.5,145.5
EMPÓRIO GERMANIA VINHEDO,CHP.15,CHOPP VINHEDO (C/ VINHO) 30L,1,UN,,,0,290.29,290.29
EMPÓRIO GERMANIA VINHEDO,CC.LT,COCA COLA LATA 350ML,24,UN,,,0,79.7,3.32083
EMPÓRIO GERMANIA VINHEDO,CCZ.LT,COCA COLA ZERO LATA 350ML,42,UN,,,0,154.98,3.69
EMPÓRIO GERMANIA VINHEDO,60.31.0085,COPO DESC 400ML BIODEG.C/50 UNID,5978,FD,5978,CX,0,29134.32,4.87358
EMPÓRIO GERMANIA VINHEDO,EVT.20,COPO FEIRAS/ EVENTOS  - COLABORADOR 400ML,1000,UN,,,0,0,0
EMPÓRIO GERMANIA VINHEDO,EVT.05,COPO FEIRAS/ EVENTOS  - PILSEN 400ML,735,UN,,,0,0,0
EMPÓRIO GERMANIA VINHEDO,EVT.07,COPO FEIRAS/EVENTOS - ESCURO 400ML,981,UN,,,0,0,0
EMPÓRIO GERMANIA VINHEDO,EVT.09,COPO FEIRAS/EVENTOS - IPA 400ML,1000,UN,,,0,0,0
EMPÓRIO GERMANIA VINHEDO,EVT.08,COPO FEIRAS/EVENTOS - PROMOÇAO PILSEN 400ML,743,UN,,,0,0,0
EMPÓRIO GERMANIA VINHEDO,EVT.06,COPO FEIRAS/EVENTOS - VINHO 440ML,890,UN,890,UN,0,0,0
EMPÓRIO GERMANIA VINHEDO,SV.05,COPO GERMANIA BLACK  500 ML,1,UN,1,UN,0,23,23
EMPÓRIO GERMANIA VINHEDO,SV.07,COPO GERMANIA CALDERETA 300ML,2,UN,0.083,CX,0,20,10
EMPÓRIO GERMANIA VINHEDO,SV.01,COPO GERMANIA TULIPA 300ML,22,UN,0.917,UN,0,220,10
EMPÓRIO GERMANIA VINHEDO,SV.09,COPO GERMANIA WEISS  680 ML,1,UN,,,0,23,23
EMPÓRIO GERMANIA VINHEDO,50.50.0001.TPC,COPO TERMICO GERMANIA 500ML,18,UN,18,UN,0,531,29.5
EMPÓRIO GERMANIA VINHEDO,0398,ESPETO BOVINO C/ BACON TC CARNES 600G,7,UN,0.7,CX,0,223.51,31.93
EMPÓRIO GERMANIA VINHEDO,1443,"ESPETO BOVINO TC CARNES 1,2KG",18,UN,,,0,960.3,53.35
EMPÓRIO GERMANIA VINHEDO,7898965028121,ESPETO COPA LOMBO 600G,6,UN,,,0,111.72,18.62
EMPÓRIO GERMANIA VINHEDO,7898965028091,ESPETO CORAÇAO 600G,27,PC,2.7,CX,0,746.82,27.66
EMPÓRIO GERMANIA VINHEDO,7898965028053,ESPETO COSTELA BOVINA 600G,8,UN,,,0,230.32,28.79
EMPÓRIO GERMANIA VINHEDO,7898965028275,"ESPETO FRANGO 1,2KG",80,UN,,,0,2553.6,31.92
EMPÓRIO GERMANIA VINHEDO,7898965028060,ESPETO FRANGO 600G,25,UN,,,0,438.75,17.55
EMPÓRIO GERMANIA VINHEDO,7898965028077,ESPETO FRANGO C/ BACON 600G,8,UN,,,0,159.36,19.92
EMPÓRIO GERMANIA VINHEDO,7898965028046,ESPETO KAFTA 600G,5,UN,,,0,73.3,14.66
EMPÓRIO GERMANIA VINHEDO,0323,ESPETO LIG CUIABANA SUINA TC CARNES 600 G,8,UN,1.333,CX,0,129.68,16.21
EMPÓRIO GERMANIA VINHEDO,1446,"ESPETO LING TOSCANA 1,2KG TC  CARNES 1,2 KG",80,UN,,,0,2344,29.3
EMPÓRIO GERMANIA VINHEDO,0411,ESPETO LING TOSCANA TC  CARNES 600G,29,UN,2.9,CX,0,447.76,15.44
EMPÓRIO GERMANIA VINHEDO,0018,ESPETO MEDALHAO BOVINO TC CARNES 500 G,4,PC,0.667,CX,0,87.64,21.91
EMPÓRIO GERMANIA VINHEDO,7898909685281,ESPETO PANCETA,7,PC,1.167,CX,0,98.49,14.07
EMPÓRIO GERMANIA VINHEDO,TC.044,ESPETO SALSICHAO,3,UN,,,0,37.71,12.57
EMPÓRIO GERMANIA VINHEDO,TC.047,ESPETO TULIPA 600G,1,PC,,,0,16.21,16.21
EMPÓRIO GERMANIA VINHEDO,1131,ESPETO YAKITORI SUINO TC CARNES 600G,6,UN,1,CX,0,81.18,13.53
EMPÓRIO GERMANIA VINHEDO,DSC.04,GARRAFA PET 1LT,39,UN,,,0,1.3,0.03333
EMPÓRIO GERMANIA VINHEDO,NTG.01,GELO 10KG,27,UN,27,UN,0,349.73,12.95296
EMPÓRIO GERMANIA VINHEDO,NTG.02,GELO 5KG,24,UN,24,UN,0,154.07,6.41958
EMPÓRIO GERMANIA VINHEDO,50.25.0028,GROWLER GERMANIA ESCURO 1L,22,UN,3.667,FD,0,210.02,9.54636
EMPÓRIO GERMANIA VINHEDO,50.25.0027,GROWLER GERMANIA PILSEN 1L,34,UN,5.667,PT,0,301.64,8.87176
EMPÓRIO GERMANIA VINHEDO,50.25.0029,GROWLER GERMANIA VINHEDO (C/ VINHO) 1L,32,UN,5.333,FD,0,337.51,10.54718
EMPÓRIO GERMANIA VINHEDO,7891991000826,GUARANA LATA 350ML,44,UN,,,0,131.56,2.99
EMPÓRIO GERMANIA VINHEDO,SV.10,TAÇA GERMANIA VINHO 400ML,24,UN,,,0,408,17
EMPÓRIO GERMANIA VINHEDO,60.35.0012,TAMPA BRACA PCO 1810 C/VEDANTE,120,UN,120,UN,0,12,0.1
EMPÓRIO GERMANIA VINHEDO,QSQ.CP.11,"TORRE CHOPP C/ VINHO 2,5L",6987356,UN,,,0,500,0.00007
EMPÓRIO GERMANIA VINHEDO,MX.24,TORRESMO P,-1,UN,,,0,0,0
,,,,,,,,,
,,,,,,,,,BeerSales - www.e-get.com.br
